,class,title_punct_count,title_token_count,title_text_length,text_punct_count,text_token_count,text_text_length
4767,1,8,9,64,84,71,464
17026,0,12,11,83,180,170,1051
4864,0,14,14,81,496,450,2557
8453,1,10,10,59,191,164,988
17022,1,12,12,68,454,413,2497
12782,1,12,11,68,75,67,343
17589,1,8,9,63,487,423,2422
795,1,14,13,76,778,683,4315
13092,0,37,28,163,741,691,3976
13306,0,15,15,77,100,93,477
2305,0,26,24,131,581,533,3031
12052,0,24,18,125,699,625,3464
3977,0,19,17,104,440,378,2158
7010,0,14,13,68,539,492,2748
6549,1,10,10,68,837,733,4650
18402,1,11,10,55,77,66,396
18396,0,32,26,141,592,533,2969
9310,1,14,13,74,679,578,3809
5238,1,10,11,67,438,380,2361
11182,1,10,9,65,837,734,4449
19904,0,17,15,90,520,473,2675
20217,0,13,13,72,20,20,123
827,1,11,10,65,567,494,2838
14359,0,26,23,132,411,363,1941
13997,1,9,10,65,944,846,4936
11081,0,18,18,89,1089,956,5410
20291,0,27,24,155,271,248,1396
13638,0,20,18,114,603,553,3148
15702,1,9,10,72,513,464,2738
5066,0,16,14,77,429,389,2380
10787,1,12,12,67,54,45,295
19638,1,9,10,72,521,467,2854
17007,0,12,13,78,80,74,441
3974,0,15,14,86,362,324,1808
22154,0,15,15,86,1634,1483,8766
11543,1,10,11,64,230,206,1246
284,1,15,10,72,138,99,642
15582,0,7,7,39,246,223,1422
664,0,10,11,68,375,342,1921
4492,1,9,10,68,136,123,710
17888,1,12,12,65,1017,897,4892
3022,0,17,16,90,394,355,1964
4077,0,15,12,70,461,411,2202
12789,1,12,12,77,161,148,813
7654,0,16,15,83,369,329,1865
20387,0,18,18,101,738,675,3863
20440,1,11,11,64,90,79,508
18963,0,18,17,92,236,224,1324
4161,1,11,9,66,284,247,1476
815,0,13,13,80,394,376,2190
9395,1,7,8,65,438,384,2471
23238,0,12,12,65,4216,3818,23067
8458,1,10,9,63,478,405,2549
20649,1,12,10,57,400,342,2086
20955,0,17,17,95,25,21,124
19372,1,13,12,63,94,81,461
13674,1,9,10,64,622,565,3307
9360,0,11,9,53,458,384,2302
1304,1,11,9,64,472,406,2415
5478,0,12,12,63,640,589,3197
19086,0,13,13,88,279,259,1567
18091,1,16,15,99,82,72,445
1051,1,10,10,72,707,627,3930
10687,0,16,15,78,638,559,3311
8302,1,7,8,57,1005,880,5149
5553,1,9,10,65,388,341,2151
18118,1,9,9,61,125,111,671
19319,0,31,25,161,725,674,3939
18190,0,16,13,79,750,685,3793
4051,1,9,9,48,238,216,1299
20609,0,11,8,37,11,5,47
21850,0,15,13,94,518,466,2618
6509,0,14,14,94,362,321,1803
2697,0,17,16,86,431,386,2194
18855,0,15,13,85,117,113,645
15996,1,11,10,59,326,284,1621
11466,0,13,12,90,804,730,4279
9484,1,8,9,56,397,328,1951
11859,1,8,8,54,637,570,3580
7422,1,10,10,42,848,711,4315
17646,1,13,12,71,152,131,735
2334,0,13,14,80,486,461,2506
1731,1,9,8,60,480,419,2570
5601,1,13,12,75,90,74,437
2927,0,14,14,69,534,483,2672
20321,0,20,18,112,58,50,282
4611,0,15,15,80,389,353,1975
14631,1,9,10,64,309,285,1647
13843,0,12,10,64,19,17,99
8716,1,13,13,68,568,472,2912
15745,0,24,22,136,269,249,1476
21054,1,8,7,51,325,291,1728
15987,1,11,9,58,226,189,1074
4278,0,15,13,77,277,244,1425
16448,0,22,18,92,55,51,292
2145,1,11,12,68,105,91,527
20591,1,9,9,53,580,469,2915
6628,1,8,8,53,351,288,1680
797,1,13,11,71,495,427,2734
15451,0,11,11,75,630,569,3189
12005,1,9,10,71,290,252,1559
7603,0,17,15,95,564,529,3113
16284,0,14,12,69,104,96,555
20252,1,9,8,56,434,384,2288
10719,0,15,13,79,390,353,2225
19289,1,11,11,62,668,574,3167
17546,0,21,18,109,378,348,2060
1980,0,21,18,89,332,279,1678
8399,1,8,8,66,283,251,1656
18684,1,14,13,73,912,810,4897
15154,0,11,11,64,48,43,205
8006,1,11,10,51,493,422,2520
17196,0,28,25,141,577,534,2978
5348,0,13,12,63,436,399,2070
3416,0,16,17,88,499,464,2619
17365,0,12,11,70,111,105,654
4135,1,8,9,56,81,67,409
14513,1,12,12,72,123,108,584
17746,0,19,19,117,588,525,3171
20929,0,18,16,91,1350,1235,7421
7835,1,9,8,61,369,315,1962
6830,0,18,16,78,428,400,2128
12643,0,17,14,76,1,1,1
20005,1,9,10,63,82,71,417
9081,0,21,22,113,262,238,1351
12319,1,8,7,53,113,100,606
12983,1,11,10,58,487,429,2551
12662,0,17,11,73,1,1,1
7354,0,14,12,78,877,729,4453
4326,0,10,11,65,363,324,1831
2642,1,14,12,70,482,424,2620
5848,1,11,11,76,463,396,2414
19921,1,14,11,79,4363,707,7467
4205,0,13,11,66,498,466,2633
5373,1,11,11,70,385,324,2033
7301,0,13,11,67,615,564,3125
21046,1,11,11,67,583,513,3026
20695,1,13,11,73,145,126,765
13089,1,13,10,73,156,135,834
8172,1,15,14,82,683,590,3612
8139,1,9,10,63,279,249,1581
3538,0,14,13,75,499,458,2578
13615,0,25,23,159,74,69,388
7931,0,17,16,94,545,502,3085
13804,1,7,8,53,603,544,3250
15544,1,18,14,84,141,120,723
12116,0,16,13,78,1,1,1
8146,0,10,11,73,369,338,1967
7908,0,14,15,86,554,484,2743
20391,1,8,9,65,65,57,365
1515,1,7,8,54,497,426,2745
9022,0,20,16,95,363,339,1829
1114,1,9,9,55,588,522,3110
20404,0,14,14,98,500,471,2785
13673,0,31,28,167,333,301,1522
3140,1,10,10,58,651,559,3314
8623,1,8,7,55,752,667,4148
10776,1,8,8,49,140,121,711
20628,0,20,17,95,315,289,1613
16303,1,9,10,63,250,228,1338
5817,1,9,8,59,504,422,2731
18035,0,25,16,89,322,286,1622
13227,0,23,19,113,131,124,693
7393,0,19,13,82,435,390,2165
891,1,10,7,52,383,330,2134
19094,1,12,13,70,448,389,2337
10205,1,8,9,57,471,418,2558
22784,0,12,10,68,339,301,1846
10648,0,23,20,116,557,508,2938
7011,1,11,10,65,1157,841,6082
19820,1,14,15,77,787,707,4120
5462,0,17,16,64,571,475,2877
18091,0,12,10,74,378,331,1974
11131,0,16,14,98,440,407,2385
15121,0,24,19,120,202,187,1052
15375,1,8,9,71,81,71,464
3931,1,13,11,72,91,80,478
8933,0,12,11,86,464,423,2374
11929,1,12,10,55,477,419,2354
18372,0,26,20,128,158,142,813
10066,1,11,10,64,385,314,1837
1191,1,10,10,68,206,178,1113
22984,0,17,14,78,402,375,2102
13741,1,11,12,73,429,384,2233
396,1,10,10,65,111,93,559
17539,0,22,21,126,809,682,3969
6103,0,17,17,83,392,355,2125
5557,1,10,10,63,95,77,524
19276,0,21,16,102,145,109,718
6924,1,11,12,69,303,262,1477
15138,0,30,24,148,120,105,533
7138,0,10,9,48,794,721,4024
6226,1,8,9,64,510,441,2773
19303,1,14,12,70,311,281,1705
19833,0,21,20,124,939,861,5256
20747,1,9,10,63,743,667,4051
16655,0,14,11,75,591,535,3053
2789,1,10,9,56,540,475,2984
17243,0,22,19,117,121,107,571
13530,0,18,16,103,703,653,3825
5757,0,7,7,48,549,500,2994
9703,1,5,6,55,393,354,2266
9162,1,13,11,89,829,743,4437
19834,0,18,18,109,641,569,3125
14954,0,23,20,110,1132,1033,5667
15158,0,15,15,94,65,56,313
19473,0,18,18,116,361,318,1905
14910,0,15,14,77,457,412,2311
8878,0,18,16,100,460,391,2253
15881,1,7,8,52,436,388,2207
3501,1,12,13,72,139,120,670
17009,1,11,11,57,375,330,2014
3139,0,14,14,71,505,454,2734
5205,0,16,13,81,396,358,2083
12236,0,22,19,102,34,25,165
22950,0,13,10,56,94,84,485
3466,0,8,8,35,738,655,3775
19873,0,19,17,107,37,32,193
715,1,11,10,66,241,209,1321
18210,0,19,16,93,197,184,1108
3459,0,13,12,73,405,349,2067
15835,0,29,25,153,71,67,346
14920,1,14,15,83,170,151,914
16678,1,9,10,60,132,118,695
